Year,GeoAreaName,Type of occupation,Value
2013,Armenia,PHYS,28.99
2013,Armenia,DENT,4.19
2013,Armenia,PHAR,0.51
2013,Armenia,NURSMID,51.94
2014,Armenia,PHAR,0.52
2014,Armenia,DENT,3.94
2014,Armenia,PHYS,29.15
2014,Armenia,NURSMID,51.95
2015,Armenia,PHYS,29.62
2000,Romania,PHAR,3.20
2000,Romania,NURSMID,54.25
2000,Romania,PHYS,19.73
2000,Romania,DENT,3.63
2001,Romania,PHYS,19.99
2001,Romania,NURSMID,55.04
2001,Romania,PHAR,3.25
2001,Romania,DENT,3.77
2002,Romania,NURSMID,56.99
2014,Latvia,NURSMID,49.78
2015,Latvia,NURSMID,48.50
2015,Latvia,PHYS,31.75
2015,Latvia,DENT,7.12
2015,Latvia,PHAR,7.90
2016,Latvia,PHAR,8.33
2016,Latvia,DENT,7.15
2016,Latvia,PHYS,31.90
2016,Latvia,NURSMID,48.08
2015,Armenia,NURSMID,50.34
2015,Armenia,DENT,3.75
2015,Armenia,PHAR,0.50
2017,Armenia,DENT,5.74
2017,Armenia,PHYS,45.46
2000,Belgium,PHAR,10.45
2000,Belgium,PHYS,28.25
2000,Belgium,DENT,7.46
2001,Belgium,PHAR,10.61
2002,Romania,PHYS,21.15
2002,Romania,PHAR,3.27
2002,Romania,DENT,3.86
2003,Romania,NURSMID,56.03
2003,Romania,DENT,4.20
2003,Romania,PHAR,3.55
2004,Romania,PHAR,4.02
2004,Romania,DENT,4.45
2004,Romania,PHYS,22.62
2017,Latvia,PHAR,9.46
2017,Latvia,NURSMID,47.42
2017,Latvia,PHYS,31.84
2017,Latvia,DENT,7.06
2018,Latvia,PHAR,8.52
2018,Latvia,DENT,7.03
2018,Latvia,PHYS,32.89
2018,Latvia,NURSMID,45.40
2019,Latvia,NURSMID,45.94
2001,Belgium,DENT,7.45
2001,Belgium,PHYS,28.42
2002,Belgium,PHYS,28.52
2002,Belgium,DENT,7.42
2002,Belgium,PHAR,10.81
2003,Belgium,PHAR,10.95
2003,Belgium,DENT,7.38
2003,Belgium,PHYS,28.50
2004,Belgium,DENT,7.38
2004,Romania,NURSMID,57.00
2005,Romania,DENT,4.85
2005,Romania,PHAR,4.39
2005,Romania,NURSMID,58.50
2005,Romania,PHYS,22.47
2006,Romania,PHAR,4.74
2006,Romania,PHYS,22.45
2006,Romania,NURSMID,60.53
2006,Romania,DENT,5.06
2004,Belgium,NURSMID,92.02
2004,Belgium,PHAR,11.11
2004,Belgium,PHYS,28.59
2005,Belgium,PHAR,11.30
2005,Belgium,NURSMID,94.31
2005,Belgium,DENT,7.32
2005,Belgium,PHYS,28.60
2006,Belgium,PHYS,28.76
2006,Belgium,DENT,7.32
2019,Latvia,PHYS,32.63
2019,Latvia,DENT,7.12
2019,Latvia,PHAR,8.42
2020,Latvia,PHYS,33.45
2020,Latvia,NURSMID,44.00
2020,Latvia,PHAR,8.67
2020,Latvia,DENT,7.18
2021,Latvia,PHAR,8.81
2000,Lithuania,PHYS,35.26
2006,Croatia,NURSMID,52.87
2007,Croatia,NURSMID,54.14
2007,Croatia,PHYS,26.78
2007,Croatia,DENT,7.41
2007,Croatia,PHAR,5.92
2008,Croatia,PHAR,6.01
2008,Croatia,DENT,7.49
2008,Croatia,PHYS,26.86
2008,Croatia,NURSMID,56.29
2007,Romania,DENT,5.60
2007,Romania,PHAR,5.30
2007,Romania,NURSMID,61.12
2007,Romania,PHYS,23.24
2008,Romania,PHAR,5.63
2008,Romania,DENT,5.76
2008,Romania,PHYS,24.40
2008,Romania,NURSMID,60.20
2009,Romania,PHAR,5.81
2006,Belgium,NURSMID,95.65
2006,Belgium,PHAR,11.44
2007,Belgium,PHAR,11.55
2007,Belgium,NURSMID,96.93
2007,Belgium,DENT,7.21
2007,Belgium,PHYS,28.97
2008,Belgium,DENT,7.14
2008,Belgium,PHYS,29.16
2008,Belgium,NURSMID,98.03
2009,Romania,NURSMID,61.78
2009,Romania,PHYS,24.62
2009,Romania,DENT,6.08
2010,Romania,DENT,6.37
2010,Romania,PHYS,24.97
2010,Romania,PHAR,6.66
2010,Romania,NURSMID,57.50
2011,Romania,PHYS,25.30
2011,Romania,NURSMID,58.42
2011,Romania,PHAR,7.17
2011,Romania,DENT,6.59
2012,Romania,DENT,6.84
2012,Romania,PHAR,7.63
2012,Romania,PHYS,26.00
2012,Romania,NURSMID,59.63
2013,Romania,DENT,7.10
2013,Romania,NURSMID,61.56
2013,Romania,PHYS,26.33
2000,Lithuania,NURSMID,78.01
2000,Lithuania,DENT,6.66
2000,Lithuania,PHAR,5.77
2001,Lithuania,PHAR,6.05
2001,Lithuania,DENT,6.78
2001,Lithuania,NURSMID,77.61
2001,Lithuania,PHYS,35.40
2002,Lithuania,DENT,6.36
2002,Lithuania,PHAR,5.98
2008,Belgium,PHAR,11.75
2009,Belgium,PHYS,29.24
2009,Belgium,PHAR,11.53
2009,Belgium,NURSMID,99.35
2009,Belgium,DENT,7.09
2010,Belgium,PHYS,29.25
2010,Belgium,NURSMID,101.50
2010,Belgium,DENT,7.06
2010,Belgium,PHAR,11.61
2002,Lithuania,PHYS,36.26
2002,Lithuania,NURSMID,76.33
2003,Lithuania,PHAR,6.54
2003,Lithuania,DENT,6.61
2003,Lithuania,NURSMID,75.34
2003,Lithuania,PHYS,36.11
2004,Lithuania,PHYS,35.78
2004,Lithuania,NURSMID,74.69
2004,Lithuania,DENT,6.40
2013,Romania,PHAR,8.09
2016,Romania,DENT,8.06
2016,Romania,PHAR,9.29
2016,Romania,PHYS,22.56
2016,Romania,NURSMID,60.92
2017,Romania,NURSMID,73.72
2017,Romania,PHYS,29.74
2017,Romania,PHAR,9.05
2017,Romania,DENT,7.95
2011,Belgium,PHAR,11.72
2011,Belgium,DENT,7.10
2011,Belgium,PHYS,29.38
2011,Belgium,NURSMID,104.45
2012,Belgium,DENT,7.13
2012,Belgium,PHAR,11.81
2012,Belgium,NURSMID,106.78
2012,Belgium,PHYS,29.54
2013,Belgium,PHAR,11.96
2004,Lithuania,PHAR,6.72
2005,Lithuania,DENT,7.02
2005,Lithuania,PHYS,36.64
2005,Lithuania,NURSMID,74.89
2005,Lithuania,PHAR,7.11
2006,Lithuania,NURSMID,75.55
2006,Lithuania,PHYS,37.31
2006,Lithuania,PHAR,7.72
2006,Lithuania,DENT,6.49
2007,Lithuania,DENT,7.09
2007,Lithuania,PHAR,8.38
2007,Lithuania,PHYS,38.35
2007,Lithuania,NURSMID,75.63
2008,Lithuania,NURSMID,76.95
2008,Lithuania,PHYS,38.50
2008,Lithuania,PHAR,8.44
2008,Lithuania,DENT,6.84
2009,Lithuania,DENT,7.38
2013,Belgium,DENT,7.17
2013,Belgium,PHYS,29.72
2013,Belgium,NURSMID,109.58
2014,Belgium,PHYS,29.84
2014,Belgium,DENT,7.25
2014,Belgium,NURSMID,112.36
2014,Belgium,PHAR,12.09
2015,Belgium,DENT,7.37
2015,Belgium,NURSMID,118.50
2015,Belgium,PHYS,30.25
2015,Belgium,PHAR,12.13
2016,Belgium,PHYS,30.78
2016,Belgium,NURSMID,120.18
2016,Belgium,DENT,7.49
2016,Belgium,PHAR,12.26
2017,Belgium,PHAR,12.37
2017,Belgium,DENT,7.48
2017,Belgium,NURSMID,119.02
2003,Serbia,PHYS,26.05
2004,Serbia,PHYS,26.67
2005,Serbia,PHYS,26.54
2006,Serbia,PHYS,26.82
2007,Serbia,PHYS,27.51
2008,Serbia,PHYS,28.41
2009,Serbia,PHYS,28.72
2009,Serbia,DENT,2.96
2010,Serbia,DENT,3.31
2009,Lithuania,PHAR,8.70
2009,Lithuania,PHYS,38.33
2009,Lithuania,NURSMID,76.01
2010,Lithuania,PHAR,9.16
2010,Lithuania,NURSMID,75.57
2010,Lithuania,PHYS,38.95
2010,Lithuania,DENT,7.82
2011,Lithuania,PHAR,9.63
2011,Lithuania,DENT,8.02
2010,Serbia,PHYS,29.16
2011,Serbia,PHYS,29.41
2011,Serbia,NURSMID,79.89
2011,Serbia,DENT,3.35
2012,Serbia,DENT,3.24
2012,Serbia,NURSMID,75.78
2012,Serbia,PHYS,29.40
2013,Serbia,NURSMID,77.15
2013,Serbia,PHYS,29.40
2017,Belgium,PHYS,30.80
2018,Belgium,PHYS,31.24
2018,Belgium,NURSMID,117.70
2018,Belgium,PHAR,12.47
2018,Belgium,DENT,7.52
2019,Belgium,PHAR,12.64
2019,Belgium,DENT,7.56
2019,Belgium,NURSMID,193.53
2019,Belgium,PHYS,31.57
2020,Belgium,PHAR,12.84
2020,Belgium,NURSMID,201.32
2020,Belgium,PHYS,32.08
2020,Belgium,DENT,7.67
2021,Belgium,PHAR,20.27
2021,Belgium,DENT,11.33
2021,Belgium,PHYS,62.57
2021,Belgium,NURSMID,205.25
2000,Bosnia and Herzegovina,PHYS,13.06
2011,Lithuania,PHYS,40.03
2011,Lithuania,NURSMID,76.50
2012,Lithuania,NURSMID,76.99
2012,Lithuania,PHYS,41.15
2012,Lithuania,DENT,8.77
2012,Lithuania,PHAR,9.96
2013,Lithuania,PHYS,41.77
2013,Lithuania,NURSMID,76.70
2013,Lithuania,DENT,8.84
2013,Lithuania,PHAR,10.14
2014,Lithuania,NURSMID,77.44
2014,Lithuania,PHYS,42.18
2014,Lithuania,PHAR,10.39
2014,Lithuania,DENT,8.91
2015,Lithuania,DENT,8.92
2015,Lithuania,PHAR,10.77
2015,Lithuania,PHYS,42.53
2015,Lithuania,NURSMID,78.18
2013,Serbia,DENT,3.17
2014,Serbia,DENT,3.06
2014,Serbia,PHYS,29.03
2014,Serbia,NURSMID,78.86
2015,Serbia,NURSMID,82.40
2015,Serbia,PHYS,29.04
2015,Serbia,DENT,2.96
2016,Serbia,PHYS,36.78
2016,Serbia,NURSMID,71.91
2000,Bosnia and Herzegovina,NURSMID,40.11
2000,Bosnia and Herzegovina,PHAR,0.91
2000,Bosnia and Herzegovina,DENT,1.74
2001,Bosnia and Herzegovina,DENT,1.62
2001,Bosnia and Herzegovina,NURSMID,39.36
2001,Bosnia and Herzegovina,PHAR,0.83
2001,Bosnia and Herzegovina,PHYS,12.98
2002,Bosnia and Herzegovina,PHAR,0.89
2002,Bosnia and Herzegovina,NURSMID,39.99
2016,Serbia,PHAR,9.58
2000,Slovakia,PHAR,3.66
2000,Slovakia,DENT,4.43
2000,Slovakia,PHYS,32.40
2000,Slovakia,NURSMID,74.54
2001,Slovakia,NURSMID,72.67
2001,Slovakia,PHYS,32.25
2001,Slovakia,DENT,4.41
2001,Slovakia,PHAR,4.25
2002,Bosnia and Herzegovina,DENT,1.63
2002,Bosnia and Herzegovina,PHYS,12.96
2003,Bosnia and Herzegovina,PHYS,13.29
2003,Bosnia and Herzegovina,DENT,1.10
2003,Bosnia and Herzegovina,NURSMID,43.47
2003,Bosnia and Herzegovina,PHAR,0.87
2004,Bosnia and Herzegovina,PHYS,13.71
2004,Bosnia and Herzegovina,PHAR,0.89
2004,Bosnia and Herzegovina,NURSMID,43.70
2016,Lithuania,PHAR,11.17
2016,Lithuania,DENT,9.50
2016,Lithuania,NURSMID,78.47
2016,Lithuania,PHYS,43.67
2017,Lithuania,NURSMID,78.17
2017,Lithuania,DENT,9.77
2017,Lithuania,PHAR,9.65
2017,Lithuania,PHYS,44.37
2018,Lithuania,PHYS,44.79
2002,Slovakia,PHAR,4.55
2002,Slovakia,DENT,4.35
2002,Slovakia,PHYS,32.03
2002,Slovakia,NURSMID,71.35
2003,Slovakia,NURSMID,68.04
2003,Slovakia,PHYS,31.49
2003,Slovakia,DENT,4.35
2003,Slovakia,PHAR,4.72
2004,Slovakia,NURSMID,66.51
2004,Bosnia and Herzegovina,DENT,1.74
2005,Bosnia and Herzegovina,PHYS,14.10
2005,Bosnia and Herzegovina,DENT,1.76
2005,Bosnia and Herzegovina,NURSMID,44.77
2005,Bosnia and Herzegovina,PHAR,0.81
2006,Bosnia and Herzegovina,PHAR,0.85
2006,Bosnia and Herzegovina,PHYS,14.62
2006,Bosnia and Herzegovina,DENT,1.90
2006,Bosnia and Herzegovina,NURSMID,45.83
2004,Slovakia,PHAR,4.93
2004,Slovakia,DENT,4.35
2004,Slovakia,PHYS,31.51
2005,Slovakia,NURSMID,63.31
2005,Slovakia,PHYS,30.35
2005,Slovakia,DENT,5.43
2005,Slovakia,PHAR,5.00
2006,Slovakia,PHAR,5.64
2006,Slovakia,DENT,5.05
2018,Lithuania,PHAR,10.01
2018,Lithuania,DENT,10.06
2018,Lithuania,NURSMID,82.83
2019,Lithuania,NURSMID,79.05
2019,Lithuania,PHAR,10.09
2019,Lithuania,DENT,10.34
2019,Lithuania,PHYS,44.81
2020,Lithuania,PHYS,44.42
2020,Lithuania,DENT,10.99
2006,Slovakia,PHYS,31.69
2006,Slovakia,NURSMID,63.45
2007,Slovakia,DENT,5.32
2007,Slovakia,PHAR,6.03
2007,Slovakia,NURSMID,66.38
2007,Slovakia,PHYS,33.87
2008,Slovakia,PHAR,5.16
2008,Slovakia,DENT,5.10
2008,Slovakia,PHYS,33.67
2020,Lithuania,PHAR,10.17
2020,Lithuania,NURSMID,80.46
2021,Lithuania,PHYS,49.50
2021,Lithuania,NURSMID,96.63
2021,Lithuania,PHAR,12.21
2021,Lithuania,DENT,13.10
2000,Luxembourg,PHAR,6.43
2000,Luxembourg,DENT,5.97
2000,Luxembourg,NURSMID,76.15
2001,Luxembourg,NURSMID,76.84
2001,Luxembourg,DENT,6.23
2001,Luxembourg,PHAR,6.69
2002,Luxembourg,PHAR,6.95
2002,Luxembourg,DENT,6.46
2002,Luxembourg,NURSMID,80.00
2003,Luxembourg,DENT,6.49
2003,Luxembourg,PHAR,7.11
2003,Luxembourg,NURSMID,91.96
2007,Bosnia and Herzegovina,DENT,1.87
2007,Bosnia and Herzegovina,PHAR,0.91
2007,Bosnia and Herzegovina,NURSMID,47.15
2007,Bosnia and Herzegovina,PHYS,15.43
2008,Bosnia and Herzegovina,PHAR,0.92
2008,Bosnia and Herzegovina,DENT,1.71
2008,Bosnia and Herzegovina,PHYS,15.91
2008,Bosnia and Herzegovina,NURSMID,49.41
2009,Bosnia and Herzegovina,NURSMID,51.15
2008,Slovakia,NURSMID,66.04
2009,Slovakia,NURSMID,63.98
2009,Slovakia,PHYS,33.03
2009,Slovakia,DENT,4.89
2009,Slovakia,PHAR,5.41
2010,Slovakia,DENT,4.94
2010,Slovakia,PHYS,33.56
2010,Slovakia,NURSMID,64.15
2010,Slovakia,PHAR,6.05
2004,Luxembourg,DENT,7.73
2004,Luxembourg,PHAR,7.01
2004,Luxembourg,NURSMID,93.69
2005,Luxembourg,NURSMID,113.04
2005,Luxembourg,PHAR,7.01
2005,Luxembourg,PHYS,25.60
2005,Luxembourg,DENT,7.96
2006,Luxembourg,PHYS,25.78
2006,Luxembourg,PHAR,7.11
2009,Bosnia and Herzegovina,PHYS,16.74
2009,Bosnia and Herzegovina,DENT,1.75
2009,Bosnia and Herzegovina,PHAR,0.94
2010,Bosnia and Herzegovina,DENT,2.09
2010,Bosnia and Herzegovina,PHYS,17.49
2010,Bosnia and Herzegovina,NURSMID,53.35
2010,Bosnia and Herzegovina,PHAR,0.97
2011,Bosnia and Herzegovina,NURSMID,54.86
2011,Bosnia and Herzegovina,PHYS,18.38
2011,Slovakia,NURSMID,62.71
2011,Slovakia,PHYS,33.04
2011,Slovakia,DENT,4.85
2011,Slovakia,PHAR,6.26
2012,Slovakia,PHAR,6.51
2012,Slovakia,DENT,4.93
2012,Slovakia,PHYS,33.63
2012,Slovakia,NURSMID,61.46
2013,Slovakia,NURSMID,60.77
2006,Luxembourg,DENT,7.94
2006,Luxembourg,NURSMID,112.72
2007,Luxembourg,PHAR,7.13
2007,Luxembourg,NURSMID,111.71
2007,Luxembourg,DENT,8.04
2007,Luxembourg,PHYS,26.94
2008,Luxembourg,DENT,8.15
2008,Luxembourg,NURSMID,114.47
2008,Luxembourg,PHYS,27.18
2013,Slovakia,PHYS,33.90
2013,Slovakia,DENT,4.78
2013,Slovakia,PHAR,6.16
2014,Slovakia,PHAR,6.72
2014,Slovakia,DENT,4.88
2014,Slovakia,PHYS,34.27
2014,Slovakia,NURSMID,60.82
2015,Slovakia,PHAR,7.05
2015,Slovakia,NURSMID,60.22
2011,Bosnia and Herzegovina,DENT,2.16
2011,Bosnia and Herzegovina,PHAR,1.05
2012,Bosnia and Herzegovina,PHYS,19.12
2012,Bosnia and Herzegovina,PHAR,1.15
2012,Bosnia and Herzegovina,DENT,2.38
2012,Bosnia and Herzegovina,NURSMID,57.81
2013,Bosnia and Herzegovina,NURSMID,57.78
2013,Bosnia and Herzegovina,DENT,2.24
2013,Bosnia and Herzegovina,PHAR,1.19
2008,Luxembourg,PHAR,7.04
2009,Luxembourg,PHYS,27.09
2009,Luxembourg,NURSMID,114.68
2009,Luxembourg,DENT,8.19
2009,Luxembourg,PHAR,7.21
2010,Luxembourg,DENT,8.32
2010,Luxembourg,NURSMID,114.10
2010,Luxembourg,PHYS,27.73
2010,Luxembourg,PHAR,7.38
2015,Slovakia,PHYS,34.51
2015,Slovakia,DENT,4.88
2016,Slovakia,PHAR,7.70
2016,Slovakia,DENT,4.97
2016,Slovakia,PHYS,34.73
2016,Slovakia,NURSMID,60.79
2017,Slovakia,NURSMID,59.69
2017,Slovakia,PHYS,34.21
2017,Slovakia,DENT,5.01
2013,Bosnia and Herzegovina,PHYS,19.93
2014,Bosnia and Herzegovina,PHYS,20.80
2014,Bosnia and Herzegovina,PHAR,1.24
2014,Bosnia and Herzegovina,DENT,2.31
2014,Bosnia and Herzegovina,NURSMID,59.79
2015,Bosnia and Herzegovina,DENT,2.34
2015,Bosnia and Herzegovina,NURSMID,60.13
2015,Bosnia and Herzegovina,PHAR,1.26
2015,Bosnia and Herzegovina,PHYS,21.03
2011,Luxembourg,PHAR,7.22
2011,Luxembourg,PHYS,27.67
2011,Luxembourg,NURSMID,116.38
2011,Luxembourg,DENT,8.41
2012,Luxembourg,DENT,8.31
2012,Luxembourg,NURSMID,122.96
2012,Luxembourg,PHYS,28.06
2012,Luxembourg,PHAR,7.16
2013,Luxembourg,PHAR,7.03
2017,Slovakia,PHAR,7.80
2018,Slovakia,NURSMID,60.23
2018,Slovakia,PHYS,35.21
2018,Slovakia,PHAR,7.99
2018,Slovakia,DENT,5.10
2019,Slovakia,PHYS,35.67
2019,Slovakia,DENT,5.23
2019,Slovakia,PHAR,8.18
2019,Slovakia,NURSMID,60.58
2013,Luxembourg,PHYS,28.30
2013,Luxembourg,NURSMID,123.07
2013,Luxembourg,DENT,8.47
2014,Luxembourg,PHAR,6.87
2014,Luxembourg,DENT,8.56
2014,Luxembourg,NURSMID,123.22
2014,Luxembourg,PHYS,28.81
2015,Luxembourg,PHAR,6.97
2015,Luxembourg,PHYS,29.08
2015,Luxembourg,NURSMID,122.76
2015,Luxembourg,DENT,8.89
2016,Luxembourg,DENT,9.43
2016,Luxembourg,NURSMID,120.79
2016,Luxembourg,PHYS,28.85
2016,Luxembourg,PHAR,6.96
2017,Luxembourg,NURSMID,120.85
2017,Luxembourg,DENT,9.74
2017,Luxembourg,PHAR,6.98
2016,Bosnia and Herzegovina,NURSMID,53.24
2017,Bosnia and Herzegovina,NURSMID,54.22
2018,Bosnia and Herzegovina,NURSMID,56.05
2000,Bulgaria,DENT,8.37
2000,Bulgaria,NURSMID,43.98
2000,Bulgaria,PHYS,33.99
2001,Bulgaria,NURSMID,41.43
2001,Bulgaria,DENT,8.07
2001,Bulgaria,PHYS,33.84
2020,Slovakia,NURSMID,61.17
2020,Slovakia,PHAR,8.38
2020,Slovakia,DENT,5.29
2020,Slovakia,PHYS,36.70
2021,Slovakia,DENT,7.09
2021,Slovakia,NURSMID,78.50
2021,Slovakia,PHAR,10.51
2021,Slovakia,PHYS,46.29
2000,Slovenia,PHYS,21.56
2017,Luxembourg,PHYS,29.85
2000,Malta,PHYS,25.65
2001,Malta,NURSMID,36.62
2001,Malta,PHYS,30.36
2002,Malta,NURSMID,53.92
2002,Malta,PHYS,32.17
2003,Malta,PHYS,30.82
2003,Malta,NURSMID,53.92
2004,Malta,NURSMID,55.28
2002,Bulgaria,DENT,7.70
2002,Bulgaria,NURSMID,40.05
2002,Bulgaria,PHYS,34.72
2003,Bulgaria,PHYS,35.53
2003,Bulgaria,NURSMID,41.81
2003,Bulgaria,DENT,8.18
2004,Bulgaria,DENT,8.27
2004,Bulgaria,NURSMID,42.19
2004,Bulgaria,PHYS,34.84
2000,Slovenia,DENT,5.84
2000,Slovenia,NURSMID,68.70
2000,Slovenia,PHAR,3.77
2001,Slovenia,PHAR,3.85
2001,Slovenia,DENT,5.94
2001,Slovenia,NURSMID,71.60
2001,Slovenia,PHYS,21.82
2002,Slovenia,PHYS,22.38
2002,Slovenia,NURSMID,71.99
2005,Malta,NURSMID,57.17
2006,Malta,NURSMID,58.63
2006,Malta,PHAR,11.99
2007,Malta,PHAR,10.73
2007,Malta,NURSMID,61.64
2008,Malta,NURSMID,67.32
2008,Malta,PHAR,13.57
2008,Malta,PHYS,33.24
2009,Malta,PHYS,18.99
2009,Malta,PHAR,5.51
2009,Malta,NURSMID,65.27
2009,Malta,DENT,4.31
2010,Malta,DENT,4.39
2010,Malta,NURSMID,67.77
2010,Malta,PHAR,7.19
2010,Malta,PHYS,21.30
2011,Malta,PHYS,22.07
2011,Malta,PHAR,7.91
2005,Bulgaria,NURSMID,44.39
2005,Bulgaria,PHYS,36.05
2005,Bulgaria,DENT,8.34
2006,Bulgaria,DENT,8.42
2006,Bulgaria,PHYS,36.17
2006,Bulgaria,NURSMID,45.10
2007,Bulgaria,NURSMID,46.18
2007,Bulgaria,PHYS,36.12
2007,Bulgaria,DENT,8.37
2011,Malta,NURSMID,69.67
2011,Malta,DENT,4.39
2012,Malta,DENT,4.42
2012,Malta,NURSMID,69.13
2012,Malta,PHAR,10.56
2012,Malta,PHYS,23.12
2013,Malta,DENT,4.50
2013,Malta,PHYS,23.95
2013,Malta,NURSMID,72.02
2002,Slovenia,DENT,6.04
2002,Slovenia,PHAR,3.92
2003,Slovenia,PHAR,4.06
2003,Slovenia,DENT,6.05
2003,Slovenia,PHYS,22.54
2003,Slovenia,NURSMID,73.92
2004,Slovenia,PHAR,4.20
2004,Slovenia,NURSMID,74.23
2004,Slovenia,PHYS,22.98
2013,Malta,PHAR,10.72
2014,Malta,DENT,4.50
2014,Malta,NURSMID,80.71
2014,Malta,PHAR,11.04
2014,Malta,PHYS,25.63
2015,Malta,PHYS,27.16
2015,Malta,PHAR,12.22
2015,Malta,NURSMID,79.48
2015,Malta,DENT,4.51
2018,Malta,NURSMID,84.74
2019,Malta,DENT,4.23
2020,Malta,DENT,6.75
2020,Malta,NURSMID,144.04
2021,Malta,DENT,6.61
2021,Malta,PHAR,25.48
2021,Malta,PHYS,54.85
2000,Republic of Moldova,PHAR,3.11
2000,Republic of Moldova,DENT,3.13
2008,Bulgaria,DENT,8.23
2008,Bulgaria,NURSMID,46.45
2008,Bulgaria,PHYS,35.77
2009,Bulgaria,DENT,8.55
2009,Bulgaria,NURSMID,46.17
2009,Bulgaria,PHYS,36.61
2010,Bulgaria,NURSMID,46.14
2010,Bulgaria,PHYS,36.83
2010,Bulgaria,DENT,8.42
2004,Slovenia,DENT,5.98
2005,Slovenia,PHAR,4.44
2005,Slovenia,DENT,5.98
2005,Slovenia,PHYS,23.40
2005,Slovenia,NURSMID,74.90
2006,Slovenia,NURSMID,76.09
2006,Slovenia,PHYS,23.54
2006,Slovenia,DENT,5.97
2006,Slovenia,PHAR,4.67
2000,Republic of Moldova,PHYS,24.27
2000,Republic of Moldova,NURSMID,56.00
2001,Republic of Moldova,NURSMID,55.17
2001,Republic of Moldova,PHYS,22.85
2001,Republic of Moldova,DENT,3.10
2001,Republic of Moldova,PHAR,3.32
2002,Republic of Moldova,DENT,3.29
2002,Republic of Moldova,PHYS,23.27
2002,Republic of Moldova,NURSMID,55.82
2010,Bulgaria,PHAR,7.38
2011,Bulgaria,NURSMID,46.24
2011,Bulgaria,PHAR,7.37
2011,Bulgaria,PHYS,37.63
2011,Bulgaria,DENT,8.86
2012,Bulgaria,PHYS,38.19
2012,Bulgaria,NURSMID,47.21
2012,Bulgaria,DENT,9.01
2012,Bulgaria,PHAR,7.43
2002,Republic of Moldova,PHAR,3.23
2003,Republic of Moldova,NURSMID,54.91
2003,Republic of Moldova,DENT,3.35
2003,Republic of Moldova,PHYS,23.27
2003,Republic of Moldova,PHAR,3.13
2004,Republic of Moldova,PHAR,4.01
2004,Republic of Moldova,DENT,3.46
2004,Republic of Moldova,PHYS,22.47
2004,Republic of Moldova,NURSMID,53.37
2007,Slovenia,PHYS,23.79
2007,Slovenia,NURSMID,77.40
2007,Slovenia,PHAR,4.82
2007,Slovenia,DENT,6.10
2008,Slovenia,NURSMID,78.71
2008,Slovenia,PHYS,23.86
2008,Slovenia,DENT,5.98
2008,Slovenia,PHAR,4.78
2009,Slovenia,PHAR,5.21
2013,Bulgaria,PHAR,7.49
2013,Bulgaria,DENT,9.81
2013,Bulgaria,NURSMID,48.08
2013,Bulgaria,PHYS,38.88
2014,Bulgaria,PHAR,7.74
2014,Bulgaria,DENT,9.57
2014,Bulgaria,PHYS,39.07
2014,Bulgaria,NURSMID,47.72
2015,Bulgaria,DENT,10.33
2005,Republic of Moldova,NURSMID,58.70
2005,Republic of Moldova,DENT,3.63
2005,Republic of Moldova,PHYS,24.72
2005,Republic of Moldova,PHAR,4.12
2006,Republic of Moldova,PHAR,4.06
2006,Republic of Moldova,DENT,3.74
2006,Republic of Moldova,PHYS,25.00
2006,Republic of Moldova,NURSMID,59.06
2007,Republic of Moldova,PHAR,4.30
2007,Republic of Moldova,NURSMID,60.16
2007,Republic of Moldova,PHYS,25.43
2007,Republic of Moldova,DENT,3.96
2008,Republic of Moldova,PHAR,4.67
2008,Republic of Moldova,DENT,4.16
2008,Republic of Moldova,PHYS,25.40
2008,Republic of Moldova,NURSMID,60.64
2009,Republic of Moldova,NURSMID,61.48
2009,Republic of Moldova,PHYS,26.13
2015,Bulgaria,PHYS,39.73
2015,Bulgaria,PHAR,8.24
2015,Bulgaria,NURSMID,47.43
2016,Bulgaria,NURSMID,42.75
2017,Bulgaria,NURSMID,43.10
2018,Bulgaria,NURSMID,47.41
2018,Bulgaria,DENT,10.17
2018,Bulgaria,PHYS,41.68
2019,Bulgaria,DENT,13.90
2009,Slovenia,PHYS,24.03
2009,Slovenia,NURSMID,80.47
2009,Slovenia,DENT,6.04
2010,Slovenia,NURSMID,82.01
2010,Slovenia,PHYS,24.20
2010,Slovenia,PHAR,5.36
2010,Slovenia,DENT,6.12
2011,Slovenia,PHAR,5.48
2011,Slovenia,PHYS,24.79
2009,Croatia,DENT,7.52
2009,Croatia,NURSMID,55.23
2009,Croatia,PHYS,26.96
2009,Croatia,PHAR,6.10
2010,Croatia,DENT,7.23
2010,Croatia,PHYS,28.16
2010,Croatia,PHAR,6.53
2010,Croatia,NURSMID,57.23
2011,Croatia,NURSMID,58.56
2009,Republic of Moldova,DENT,4.25
2009,Republic of Moldova,PHAR,4.73
2010,Republic of Moldova,NURSMID,62.75
2010,Republic of Moldova,PHAR,4.84
2010,Republic of Moldova,DENT,4.46
2010,Republic of Moldova,PHYS,26.45
2011,Republic of Moldova,PHAR,5.21
2011,Republic of Moldova,NURSMID,64.05
2011,Republic of Moldova,PHYS,27.39
2011,Slovenia,NURSMID,83.34
2011,Slovenia,DENT,6.20
2012,Slovenia,DENT,6.26
2012,Slovenia,NURSMID,81.72
2012,Slovenia,PHYS,25.26
2012,Slovenia,PHAR,5.60
2013,Slovenia,PHAR,5.74
2013,Slovenia,PHYS,26.13
2013,Slovenia,NURSMID,83.27
2011,Republic of Moldova,DENT,4.65
