Year,GeoAreaName,Location,Nature,Reporting Type,Units,Value
2016,Croatia,URBAN,E,G,PERCENT,94
2017,Croatia,URBAN,E,G,PERCENT,94
2018,Croatia,URBAN,E,G,PERCENT,94
2019,Croatia,URBAN,E,G,PERCENT,94
2020,Croatia,URBAN,E,G,PERCENT,94
2000,Cyprus,ALLAREA,E,G,PERCENT,96
2001,Cyprus,ALLAREA,E,G,PERCENT,96
2002,Cyprus,ALLAREA,E,G,PERCENT,96
2003,Cyprus,ALLAREA,E,G,PERCENT,96
2004,Cyprus,ALLAREA,E,G,PERCENT,96
2005,Cyprus,ALLAREA,E,G,PERCENT,96
2006,Cyprus,ALLAREA,E,G,PERCENT,97
2007,Cyprus,ALLAREA,E,G,PERCENT,97
2008,Cyprus,ALLAREA,E,G,PERCENT,97
2009,Cyprus,ALLAREA,E,G,PERCENT,97
2010,Cyprus,ALLAREA,E,G,PERCENT,98
2011,Cyprus,ALLAREA,E,G,PERCENT,98
2012,Cyprus,ALLAREA,E,G,PERCENT,98
2013,France,URBAN,E,G,PERCENT,99
2014,France,ALLAREA,E,G,PERCENT,99
2014,France,URBAN,E,G,PERCENT,99
2015,France,ALLAREA,E,G,PERCENT,99
2015,France,URBAN,E,G,PERCENT,99
2016,France,ALLAREA,E,G,PERCENT,99
2016,France,URBAN,E,G,PERCENT,99
2017,France,ALLAREA,E,G,PERCENT,99
2017,France,URBAN,E,G,PERCENT,100
2018,France,ALLAREA,E,G,PERCENT,99
2002,Serbia,URBAN,E,G,PERCENT,81
2002,Serbia,RURAL,E,G,PERCENT,66
2002,Serbia,ALLAREA,E,G,PERCENT,74
2003,Serbia,ALLAREA,E,G,PERCENT,74
2003,Serbia,RURAL,E,G,PERCENT,66
2003,Serbia,URBAN,E,G,PERCENT,81
2004,Serbia,URBAN,E,G,PERCENT,81
2004,Serbia,RURAL,E,G,PERCENT,66
2004,Serbia,ALLAREA,E,G,PERCENT,75
2005,Serbia,RURAL,E,G,PERCENT,67
2018,France,URBAN,E,G,PERCENT,100
2019,France,URBAN,E,G,PERCENT,100
2019,France,ALLAREA,E,G,PERCENT,99
2020,France,ALLAREA,E,G,PERCENT,99
2020,France,URBAN,E,G,PERCENT,100
2000,Georgia,ALLAREA,E,G,PERCENT,62
2000,Georgia,URBAN,E,G,PERCENT,84
2000,Georgia,RURAL,E,G,PERCENT,38
2001,Georgia,ALLAREA,E,G,PERCENT,62
2001,Georgia,RURAL,E,G,PERCENT,39
2005,Serbia,ALLAREA,E,G,PERCENT,75
2005,Serbia,URBAN,E,G,PERCENT,81
2006,Serbia,RURAL,E,G,PERCENT,67
2006,Serbia,ALLAREA,E,G,PERCENT,75
2006,Serbia,URBAN,E,G,PERCENT,81
2007,Serbia,RURAL,E,G,PERCENT,67
2007,Serbia,ALLAREA,E,G,PERCENT,75
2007,Serbia,URBAN,E,G,PERCENT,81
2008,Serbia,ALLAREA,E,G,PERCENT,75
2008,Serbia,URBAN,E,G,PERCENT,81
2008,Serbia,RURAL,E,G,PERCENT,67
2009,Serbia,RURAL,E,G,PERCENT,67
2009,Serbia,ALLAREA,E,G,PERCENT,75
2009,Serbia,URBAN,E,G,PERCENT,81
2010,Serbia,RURAL,E,G,PERCENT,67
2010,Serbia,URBAN,E,G,PERCENT,81
2010,Serbia,ALLAREA,E,G,PERCENT,75
2011,Serbia,RURAL,E,G,PERCENT,67
2011,Serbia,ALLAREA,E,G,PERCENT,75
2011,Serbia,URBAN,E,G,PERCENT,81
2012,Serbia,ALLAREA,E,G,PERCENT,75
2012,Serbia,URBAN,E,G,PERCENT,81
2012,Serbia,RURAL,E,G,PERCENT,67
2013,Serbia,ALLAREA,E,G,PERCENT,75
2013,Serbia,RURAL,E,G,PERCENT,67
2013,Serbia,URBAN,E,G,PERCENT,81
2014,Serbia,ALLAREA,E,G,PERCENT,75
2014,Serbia,URBAN,E,G,PERCENT,82
2014,Serbia,RURAL,E,G,PERCENT,67
2015,Serbia,URBAN,E,G,PERCENT,82
2001,Georgia,URBAN,E,G,PERCENT,84
2002,Georgia,ALLAREA,E,G,PERCENT,62
2002,Georgia,RURAL,E,G,PERCENT,39
2002,Georgia,URBAN,E,G,PERCENT,84
2003,Georgia,RURAL,E,G,PERCENT,39
2003,Georgia,URBAN,E,G,PERCENT,84
2003,Georgia,ALLAREA,E,G,PERCENT,63
2004,Georgia,RURAL,E,G,PERCENT,39
2004,Georgia,URBAN,E,G,PERCENT,84
2004,Georgia,ALLAREA,E,G,PERCENT,63
2005,Georgia,ALLAREA,E,G,PERCENT,63
2005,Georgia,RURAL,E,G,PERCENT,39
2005,Georgia,URBAN,E,G,PERCENT,84
2006,Georgia,ALLAREA,E,G,PERCENT,63
2006,Georgia,RURAL,E,G,PERCENT,39
2006,Georgia,URBAN,E,G,PERCENT,84
2007,Georgia,RURAL,E,G,PERCENT,39
2007,Georgia,URBAN,E,G,PERCENT,84
2007,Georgia,ALLAREA,E,G,PERCENT,63
2008,Georgia,ALLAREA,E,G,PERCENT,64
2008,Georgia,RURAL,E,G,PERCENT,39
2008,Georgia,URBAN,E,G,PERCENT,84
2009,Georgia,ALLAREA,E,G,PERCENT,64
2009,Georgia,RURAL,E,G,PERCENT,39
2009,Georgia,URBAN,E,G,PERCENT,84
2010,Georgia,ALLAREA,E,G,PERCENT,64
2010,Georgia,URBAN,E,G,PERCENT,84
2010,Georgia,RURAL,E,G,PERCENT,39
2011,Georgia,ALLAREA,E,G,PERCENT,64
2011,Georgia,RURAL,E,G,PERCENT,39
2015,Serbia,RURAL,E,G,PERCENT,67
2015,Serbia,ALLAREA,E,G,PERCENT,75
2016,Serbia,URBAN,E,G,PERCENT,82
2016,Serbia,RURAL,E,G,PERCENT,67
2016,Serbia,ALLAREA,E,G,PERCENT,75
2017,Serbia,URBAN,E,G,PERCENT,82
2017,Serbia,RURAL,E,G,PERCENT,67
2017,Serbia,ALLAREA,E,G,PERCENT,75
2018,Serbia,ALLAREA,E,G,PERCENT,75
2018,Serbia,RURAL,E,G,PERCENT,67
2011,Georgia,URBAN,E,G,PERCENT,84
2012,Georgia,ALLAREA,E,G,PERCENT,65
2012,Georgia,RURAL,E,G,PERCENT,40
2012,Georgia,URBAN,E,G,PERCENT,84
2013,Georgia,ALLAREA,E,G,PERCENT,65
2013,Georgia,RURAL,E,G,PERCENT,40
2013,Georgia,URBAN,E,G,PERCENT,84
2014,Georgia,ALLAREA,E,G,PERCENT,65
2014,Georgia,RURAL,E,G,PERCENT,40
2014,Georgia,URBAN,E,G,PERCENT,84
2015,Georgia,ALLAREA,E,G,PERCENT,65
2015,Georgia,RURAL,E,G,PERCENT,40
2015,Georgia,URBAN,E,G,PERCENT,84
2016,Georgia,ALLAREA,E,G,PERCENT,65
2016,Georgia,URBAN,E,G,PERCENT,84
2016,Georgia,RURAL,E,G,PERCENT,40
2017,Georgia,ALLAREA,E,G,PERCENT,66
2017,Georgia,URBAN,E,G,PERCENT,84
2017,Georgia,RURAL,E,G,PERCENT,40
2018,Georgia,ALLAREA,E,G,PERCENT,66
2018,Serbia,URBAN,E,G,PERCENT,82
2019,Serbia,ALLAREA,E,G,PERCENT,75
2019,Serbia,RURAL,E,G,PERCENT,67
2019,Serbia,URBAN,E,G,PERCENT,82
2020,Serbia,URBAN,E,G,PERCENT,82
2020,Serbia,RURAL,E,G,PERCENT,67
2020,Serbia,ALLAREA,E,G,PERCENT,75
2000,Slovakia,ALLAREA,E,G,PERCENT,92
2001,Slovakia,ALLAREA,E,G,PERCENT,92
2002,Slovakia,ALLAREA,E,G,PERCENT,93
2003,Slovakia,ALLAREA,E,G,PERCENT,93
2004,Slovakia,ALLAREA,E,G,PERCENT,94
2005,Slovakia,ALLAREA,E,G,PERCENT,95
2006,Slovakia,ALLAREA,E,G,PERCENT,95
2007,Slovakia,ALLAREA,E,G,PERCENT,96
2008,Slovakia,ALLAREA,E,G,PERCENT,97
2009,Slovakia,ALLAREA,E,G,PERCENT,97
2010,Slovakia,ALLAREA,E,G,PERCENT,98
2011,Slovakia,ALLAREA,E,G,PERCENT,99
2012,Slovakia,ALLAREA,E,G,PERCENT,99
2018,Georgia,RURAL,E,G,PERCENT,40
2018,Georgia,URBAN,E,G,PERCENT,84
2019,Georgia,ALLAREA,E,G,PERCENT,66
2019,Georgia,RURAL,E,G,PERCENT,40
2019,Georgia,URBAN,E,G,PERCENT,84
2020,Georgia,ALLAREA,E,G,PERCENT,66
2020,Georgia,URBAN,E,G,PERCENT,84
2020,Georgia,RURAL,E,G,PERCENT,40
2000,Germany,ALLAREA,E,G,PERCENT,100
2001,Germany,ALLAREA,E,G,PERCENT,100
2002,Germany,ALLAREA,E,G,PERCENT,100
2003,Germany,ALLAREA,E,G,PERCENT,100
2004,Germany,ALLAREA,E,G,PERCENT,100
2005,Germany,ALLAREA,E,G,PERCENT,100
2006,Germany,ALLAREA,E,G,PERCENT,100
2007,Germany,ALLAREA,E,G,PERCENT,100
2008,Germany,ALLAREA,E,G,PERCENT,100
2009,Germany,ALLAREA,E,G,PERCENT,100
2010,Germany,ALLAREA,E,G,PERCENT,100
2011,Germany,ALLAREA,E,G,PERCENT,100
2013,Slovakia,ALLAREA,E,G,PERCENT,99
2014,Slovakia,ALLAREA,E,G,PERCENT,99
2015,Slovakia,ALLAREA,E,G,PERCENT,99
2016,Slovakia,ALLAREA,E,G,PERCENT,99
2017,Slovakia,ALLAREA,E,G,PERCENT,99
2018,Slovakia,ALLAREA,E,G,PERCENT,99
2019,Slovakia,ALLAREA,E,G,PERCENT,99
2020,Slovakia,ALLAREA,E,G,PERCENT,99
2000,Slovenia,ALLAREA,E,G,PERCENT,80
2001,Slovenia,ALLAREA,E,G,PERCENT,80
2012,Germany,ALLAREA,E,G,PERCENT,100
2013,Germany,ALLAREA,E,G,PERCENT,100
2014,Germany,ALLAREA,E,G,PERCENT,100
2015,Germany,ALLAREA,E,G,PERCENT,100
2016,Germany,ALLAREA,E,G,PERCENT,100
2017,Germany,ALLAREA,E,G,PERCENT,100
2018,Germany,ALLAREA,E,G,PERCENT,100
2019,Germany,ALLAREA,E,G,PERCENT,100
2020,Germany,ALLAREA,E,G,PERCENT,100
2000,Greece,ALLAREA,E,G,PERCENT,99
2001,Greece,ALLAREA,E,G,PERCENT,99
2002,Greece,ALLAREA,E,G,PERCENT,99
2003,Greece,ALLAREA,E,G,PERCENT,99
2004,Greece,ALLAREA,E,G,PERCENT,99
2005,Greece,ALLAREA,E,G,PERCENT,99
2006,Greece,ALLAREA,E,G,PERCENT,99
2007,Greece,ALLAREA,E,G,PERCENT,99
2008,Greece,ALLAREA,E,G,PERCENT,99
2009,Greece,ALLAREA,E,G,PERCENT,99
2010,Greece,ALLAREA,E,G,PERCENT,99
2002,Slovenia,ALLAREA,E,G,PERCENT,80
2003,Slovenia,ALLAREA,E,G,PERCENT,81
2004,Slovenia,ALLAREA,E,G,PERCENT,83
2005,Slovenia,ALLAREA,E,G,PERCENT,84
2006,Slovenia,ALLAREA,E,G,PERCENT,85
2007,Slovenia,ALLAREA,E,G,PERCENT,86
2008,Slovenia,ALLAREA,E,G,PERCENT,87
2009,Slovenia,ALLAREA,E,G,PERCENT,89
2010,Slovenia,ALLAREA,E,G,PERCENT,90
2011,Slovenia,ALLAREA,E,G,PERCENT,91
2011,Greece,ALLAREA,E,G,PERCENT,100
2012,Greece,ALLAREA,E,G,PERCENT,100
2013,Greece,ALLAREA,E,G,PERCENT,100
2014,Greece,ALLAREA,E,G,PERCENT,100
2015,Greece,ALLAREA,E,G,PERCENT,100
2016,Greece,ALLAREA,E,G,PERCENT,100
2017,Greece,ALLAREA,E,G,PERCENT,100
2018,Greece,ALLAREA,E,G,PERCENT,100
2019,Greece,ALLAREA,E,G,PERCENT,100
2020,Greece,ALLAREA,E,G,PERCENT,100
2000,Hungary,ALLAREA,E,G,PERCENT,92
2000,Hungary,RURAL,E,G,PERCENT,89
2000,Hungary,URBAN,E,G,PERCENT,94
2001,Hungary,ALLAREA,E,G,PERCENT,92
2001,Hungary,RURAL,E,G,PERCENT,89
2001,Hungary,URBAN,E,G,PERCENT,94
2002,Hungary,ALLAREA,E,G,PERCENT,92
2002,Hungary,RURAL,E,G,PERCENT,89
2002,Hungary,URBAN,E,G,PERCENT,94
2003,Hungary,ALLAREA,E,G,PERCENT,92
2012,Slovenia,ALLAREA,E,G,PERCENT,92
2013,Slovenia,ALLAREA,E,G,PERCENT,94
2014,Slovenia,ALLAREA,E,G,PERCENT,95
2015,Slovenia,ALLAREA,E,G,PERCENT,96
2016,Slovenia,ALLAREA,E,G,PERCENT,97
2017,Slovenia,ALLAREA,E,G,PERCENT,98
2018,Slovenia,ALLAREA,E,G,PERCENT,98
2019,Slovenia,ALLAREA,E,G,PERCENT,98
2020,Slovenia,ALLAREA,E,G,PERCENT,98
2000,Spain,ALLAREA,E,G,PERCENT,99
2003,Hungary,URBAN,E,G,PERCENT,94
2003,Hungary,RURAL,E,G,PERCENT,89
2004,Hungary,URBAN,E,G,PERCENT,94
2004,Hungary,ALLAREA,E,G,PERCENT,92
2004,Hungary,RURAL,E,G,PERCENT,89
2005,Hungary,ALLAREA,E,G,PERCENT,92
2005,Hungary,RURAL,E,G,PERCENT,89
2005,Hungary,URBAN,E,G,PERCENT,94
2006,Hungary,ALLAREA,E,G,PERCENT,92
2006,Hungary,RURAL,E,G,PERCENT,89
2000,Spain,RURAL,E,G,PERCENT,99
2000,Spain,URBAN,E,G,PERCENT,100
2001,Spain,RURAL,E,G,PERCENT,99
2001,Spain,ALLAREA,E,G,PERCENT,99
2001,Spain,URBAN,E,G,PERCENT,100
2002,Spain,ALLAREA,E,G,PERCENT,99
2002,Spain,RURAL,E,G,PERCENT,99
2002,Spain,URBAN,E,G,PERCENT,100
2003,Spain,ALLAREA,E,G,PERCENT,99
2003,Spain,RURAL,E,G,PERCENT,99
2006,Hungary,URBAN,E,G,PERCENT,94
2007,Hungary,ALLAREA,E,G,PERCENT,92
2007,Hungary,URBAN,E,G,PERCENT,94
2007,Hungary,RURAL,E,G,PERCENT,89
2008,Hungary,ALLAREA,E,G,PERCENT,92
2008,Hungary,RURAL,E,G,PERCENT,89
2008,Hungary,URBAN,E,G,PERCENT,94
2009,Hungary,ALLAREA,E,G,PERCENT,92
2009,Hungary,RURAL,E,G,PERCENT,89
2009,Hungary,URBAN,E,G,PERCENT,94
2010,Hungary,URBAN,E,G,PERCENT,94
2010,Hungary,RURAL,E,G,PERCENT,89
2010,Hungary,ALLAREA,E,G,PERCENT,92
2011,Hungary,RURAL,E,G,PERCENT,89
2011,Hungary,URBAN,E,G,PERCENT,94
2011,Hungary,ALLAREA,E,G,PERCENT,92
2012,Hungary,ALLAREA,E,G,PERCENT,92
2012,Hungary,RURAL,E,G,PERCENT,89
2012,Hungary,URBAN,E,G,PERCENT,94
2013,Hungary,ALLAREA,E,G,PERCENT,92
2003,Spain,URBAN,E,G,PERCENT,100
2004,Spain,ALLAREA,E,G,PERCENT,99
2004,Spain,URBAN,E,G,PERCENT,100
2004,Spain,RURAL,E,G,PERCENT,99
2005,Spain,URBAN,E,G,PERCENT,100
2005,Spain,ALLAREA,E,G,PERCENT,100
2005,Spain,RURAL,E,G,PERCENT,99
2006,Spain,URBAN,E,G,PERCENT,100
2006,Spain,RURAL,E,G,PERCENT,99
2006,Spain,ALLAREA,E,G,PERCENT,100
2013,Hungary,RURAL,E,G,PERCENT,89
2013,Hungary,URBAN,E,G,PERCENT,94
2014,Hungary,RURAL,E,G,PERCENT,89
2014,Hungary,URBAN,E,G,PERCENT,94
2014,Hungary,ALLAREA,E,G,PERCENT,92
2015,Hungary,ALLAREA,E,G,PERCENT,92
2015,Hungary,RURAL,E,G,PERCENT,89
2015,Hungary,URBAN,E,G,PERCENT,94
2016,Hungary,ALLAREA,E,G,PERCENT,93
2016,Hungary,RURAL,E,G,PERCENT,89
2007,Spain,RURAL,E,G,PERCENT,99
2007,Spain,ALLAREA,E,G,PERCENT,100
2007,Spain,URBAN,E,G,PERCENT,100
2008,Spain,ALLAREA,E,G,PERCENT,100
2008,Spain,RURAL,E,G,PERCENT,99
2008,Spain,URBAN,E,G,PERCENT,100
2009,Spain,ALLAREA,E,G,PERCENT,100
2009,Spain,RURAL,E,G,PERCENT,99
2009,Spain,URBAN,E,G,PERCENT,100
2010,Spain,RURAL,E,G,PERCENT,99
2016,Hungary,URBAN,E,G,PERCENT,94
2017,Hungary,URBAN,E,G,PERCENT,94
2017,Hungary,RURAL,E,G,PERCENT,89
2017,Hungary,ALLAREA,E,G,PERCENT,93
2018,Hungary,ALLAREA,E,G,PERCENT,93
2018,Hungary,RURAL,E,G,PERCENT,89
2018,Hungary,URBAN,E,G,PERCENT,94
2019,Hungary,ALLAREA,E,G,PERCENT,93
2019,Hungary,RURAL,E,G,PERCENT,89
2019,Hungary,URBAN,E,G,PERCENT,94
2020,Hungary,ALLAREA,E,G,PERCENT,93
2020,Hungary,RURAL,E,G,PERCENT,89
2020,Hungary,URBAN,E,G,PERCENT,94
2000,Iceland,ALLAREA,E,G,PERCENT,90
2001,Iceland,ALLAREA,E,G,PERCENT,90
2002,Iceland,ALLAREA,E,G,PERCENT,91
2003,Iceland,ALLAREA,E,G,PERCENT,91
2004,Iceland,ALLAREA,E,G,PERCENT,92
2005,Iceland,ALLAREA,E,G,PERCENT,93
2006,Iceland,ALLAREA,E,G,PERCENT,93
2010,Spain,ALLAREA,E,G,PERCENT,100
2010,Spain,URBAN,E,G,PERCENT,100
2011,Spain,ALLAREA,E,G,PERCENT,100
2011,Spain,RURAL,E,G,PERCENT,99
2011,Spain,URBAN,E,G,PERCENT,100
2012,Spain,ALLAREA,E,G,PERCENT,100
2012,Spain,URBAN,E,G,PERCENT,100
2012,Spain,RURAL,E,G,PERCENT,99
2013,Spain,URBAN,E,G,PERCENT,100
2013,Spain,ALLAREA,E,G,PERCENT,100
2007,Iceland,ALLAREA,E,G,PERCENT,94
2008,Iceland,ALLAREA,E,G,PERCENT,95
2009,Iceland,ALLAREA,E,G,PERCENT,95
2010,Iceland,ALLAREA,E,G,PERCENT,96
2011,Iceland,ALLAREA,E,G,PERCENT,96
2012,Iceland,ALLAREA,E,G,PERCENT,97
2013,Iceland,ALLAREA,E,G,PERCENT,98
2014,Iceland,ALLAREA,E,G,PERCENT,98
2015,Iceland,ALLAREA,E,G,PERCENT,99
2016,Iceland,ALLAREA,E,G,PERCENT,100
2013,Spain,RURAL,E,G,PERCENT,99
2014,Spain,ALLAREA,E,G,PERCENT,100
2014,Spain,RURAL,E,G,PERCENT,99
2014,Spain,URBAN,E,G,PERCENT,100
2015,Spain,ALLAREA,E,G,PERCENT,100
2015,Spain,RURAL,E,G,PERCENT,99
2015,Spain,URBAN,E,G,PERCENT,100
2016,Spain,ALLAREA,E,G,PERCENT,100
2016,Spain,RURAL,E,G,PERCENT,99
2016,Spain,URBAN,E,G,PERCENT,100
2017,Iceland,ALLAREA,E,G,PERCENT,100
2018,Iceland,ALLAREA,E,G,PERCENT,100
2019,Iceland,ALLAREA,E,G,PERCENT,100
2020,Iceland,ALLAREA,E,G,PERCENT,100
2000,Ireland,ALLAREA,E,G,PERCENT,93
2001,Ireland,ALLAREA,E,G,PERCENT,94
2002,Ireland,ALLAREA,E,G,PERCENT,94
2003,Ireland,ALLAREA,E,G,PERCENT,94
2004,Ireland,ALLAREA,E,G,PERCENT,94
2005,Ireland,ALLAREA,E,G,PERCENT,95
2006,Ireland,ALLAREA,E,G,PERCENT,95
2007,Ireland,ALLAREA,E,G,PERCENT,95
2008,Ireland,ALLAREA,E,G,PERCENT,95
2009,Ireland,ALLAREA,E,G,PERCENT,95
2010,Ireland,ALLAREA,E,G,PERCENT,96
2011,Ireland,ALLAREA,E,G,PERCENT,96
2012,Ireland,ALLAREA,E,G,PERCENT,96
2013,Ireland,ALLAREA,E,G,PERCENT,96
2014,Ireland,ALLAREA,E,G,PERCENT,97
2015,Ireland,ALLAREA,E,G,PERCENT,97
2017,Spain,ALLAREA,E,G,PERCENT,100
2017,Spain,RURAL,E,G,PERCENT,99
2017,Spain,URBAN,E,G,PERCENT,100
2018,Spain,ALLAREA,E,G,PERCENT,100
2018,Spain,RURAL,E,G,PERCENT,99
2018,Spain,URBAN,E,G,PERCENT,100
2019,Spain,ALLAREA,E,G,PERCENT,100
2019,Spain,RURAL,E,G,PERCENT,99
2019,Spain,URBAN,E,G,PERCENT,100
2020,Spain,URBAN,E,G,PERCENT,100
2016,Ireland,ALLAREA,E,G,PERCENT,97
2017,Ireland,ALLAREA,E,G,PERCENT,97
2018,Ireland,ALLAREA,E,G,PERCENT,97
2019,Ireland,ALLAREA,E,G,PERCENT,97
2020,Ireland,ALLAREA,E,G,PERCENT,97
2000,Italy,ALLAREA,E,G,PERCENT,95
2001,Italy,ALLAREA,E,G,PERCENT,95
2002,Italy,ALLAREA,E,G,PERCENT,95
2003,Italy,ALLAREA,E,G,PERCENT,95
2004,Italy,ALLAREA,E,G,PERCENT,96
2005,Italy,ALLAREA,E,G,PERCENT,96
2006,Italy,ALLAREA,E,G,PERCENT,96
2007,Italy,ALLAREA,E,G,PERCENT,96
2008,Italy,ALLAREA,E,G,PERCENT,96
2009,Italy,ALLAREA,E,G,PERCENT,96
2010,Italy,ALLAREA,E,G,PERCENT,96
2011,Italy,ALLAREA,E,G,PERCENT,96
2012,Italy,ALLAREA,E,G,PERCENT,96
2013,Italy,ALLAREA,E,G,PERCENT,96
2014,Italy,ALLAREA,E,G,PERCENT,96
2020,Spain,ALLAREA,E,G,PERCENT,100
2020,Spain,RURAL,E,G,PERCENT,99
2000,Sweden,ALLAREA,E,G,PERCENT,99
2001,Sweden,ALLAREA,E,G,PERCENT,99
2002,Sweden,ALLAREA,E,G,PERCENT,99
2003,Sweden,ALLAREA,E,G,PERCENT,99
2004,Sweden,ALLAREA,E,G,PERCENT,99
2005,Sweden,ALLAREA,E,G,PERCENT,99
2006,Sweden,ALLAREA,E,G,PERCENT,100
2007,Sweden,ALLAREA,E,G,PERCENT,100
2008,Sweden,ALLAREA,E,G,PERCENT,100
2009,Sweden,ALLAREA,E,G,PERCENT,100
2010,Sweden,ALLAREA,E,G,PERCENT,100
2011,Sweden,ALLAREA,E,G,PERCENT,100
2012,Sweden,ALLAREA,E,G,PERCENT,100
2013,Sweden,ALLAREA,E,G,PERCENT,100
2014,Sweden,ALLAREA,E,G,PERCENT,100
2015,Sweden,ALLAREA,E,G,PERCENT,100
2016,Sweden,ALLAREA,E,G,PERCENT,100
2017,Sweden,ALLAREA,E,G,PERCENT,100
2015,Italy,ALLAREA,E,G,PERCENT,96
2016,Italy,ALLAREA,E,G,PERCENT,96
2017,Italy,ALLAREA,E,G,PERCENT,96
2018,Italy,ALLAREA,E,G,PERCENT,96
2019,Italy,ALLAREA,E,G,PERCENT,96
2020,Italy,ALLAREA,E,G,PERCENT,96
2000,Kazakhstan,ALLAREA,E,G,PERCENT,63
2001,Kazakhstan,ALLAREA,E,G,PERCENT,63
2002,Kazakhstan,ALLAREA,E,G,PERCENT,65
2003,Kazakhstan,ALLAREA,E,G,PERCENT,67
2018,Sweden,ALLAREA,E,G,PERCENT,100
2019,Sweden,ALLAREA,E,G,PERCENT,100
2020,Sweden,ALLAREA,E,G,PERCENT,100
2000,Switzerland,ALLAREA,E,G,PERCENT,94
2001,Switzerland,ALLAREA,E,G,PERCENT,94
2002,Switzerland,ALLAREA,E,G,PERCENT,94
2003,Switzerland,ALLAREA,E,G,PERCENT,94
2004,Switzerland,ALLAREA,E,G,PERCENT,94
2005,Switzerland,ALLAREA,E,G,PERCENT,94
2006,Switzerland,ALLAREA,E,G,PERCENT,94
2004,Kazakhstan,ALLAREA,E,G,PERCENT,68
2005,Kazakhstan,ALLAREA,E,G,PERCENT,70
2006,Kazakhstan,ALLAREA,E,G,PERCENT,71
2007,Kazakhstan,ALLAREA,E,G,PERCENT,73
2008,Kazakhstan,ALLAREA,E,G,PERCENT,75
2009,Kazakhstan,ALLAREA,E,G,PERCENT,76
2010,Kazakhstan,ALLAREA,E,G,PERCENT,78
2011,Kazakhstan,ALLAREA,E,G,PERCENT,80
2012,Kazakhstan,ALLAREA,E,G,PERCENT,81
2013,Kazakhstan,ALLAREA,E,G,PERCENT,83
2007,Switzerland,ALLAREA,E,G,PERCENT,94
2008,Switzerland,ALLAREA,E,G,PERCENT,94
2009,Switzerland,ALLAREA,E,G,PERCENT,94
2010,Switzerland,ALLAREA,E,G,PERCENT,94
2011,Switzerland,ALLAREA,E,G,PERCENT,94
2012,Switzerland,ALLAREA,E,G,PERCENT,94
2013,Switzerland,ALLAREA,E,G,PERCENT,94
2014,Switzerland,ALLAREA,E,G,PERCENT,94
2015,Switzerland,ALLAREA,E,G,PERCENT,94
2016,Switzerland,ALLAREA,E,G,PERCENT,94
2017,Switzerland,ALLAREA,E,G,PERCENT,94
2018,Switzerland,ALLAREA,E,G,PERCENT,94
2019,Switzerland,ALLAREA,E,G,PERCENT,94
2020,Switzerland,ALLAREA,E,G,PERCENT,94
2000,Tajikistan,ALLAREA,E,G,PERCENT,36
2001,Tajikistan,ALLAREA,E,G,PERCENT,37
2002,Tajikistan,ALLAREA,E,G,PERCENT,38
2003,Tajikistan,ALLAREA,E,G,PERCENT,39
2004,Tajikistan,ALLAREA,E,G,PERCENT,40
2005,Tajikistan,ALLAREA,E,G,PERCENT,41
2006,Tajikistan,ALLAREA,E,G,PERCENT,43
2007,Tajikistan,ALLAREA,E,G,PERCENT,44
2008,Tajikistan,ALLAREA,E,G,PERCENT,45
2009,Tajikistan,ALLAREA,E,G,PERCENT,46
2010,Tajikistan,ALLAREA,E,G,PERCENT,47
2011,Tajikistan,ALLAREA,E,G,PERCENT,49
2012,Tajikistan,ALLAREA,E,G,PERCENT,49
2013,Tajikistan,ALLAREA,E,G,PERCENT,50
2014,Tajikistan,ALLAREA,E,G,PERCENT,51
2015,Tajikistan,ALLAREA,E,G,PERCENT,52
2016,Tajikistan,ALLAREA,E,G,PERCENT,53
2017,Tajikistan,ALLAREA,E,G,PERCENT,54
2018,Tajikistan,ALLAREA,E,G,PERCENT,54
2019,Tajikistan,ALLAREA,E,G,PERCENT,55
2020,Tajikistan,ALLAREA,E,G,PERCENT,55
2000,Turkmenistan,ALLAREA,E,G,PERCENT,67
2000,Turkmenistan,RURAL,E,G,PERCENT,51
2000,Turkmenistan,URBAN,E,G,PERCENT,86
2001,Turkmenistan,ALLAREA,E,G,PERCENT,68
2001,Turkmenistan,RURAL,E,G,PERCENT,53
2001,Turkmenistan,URBAN,E,G,PERCENT,86
2002,Turkmenistan,ALLAREA,E,G,PERCENT,69
2002,Turkmenistan,RURAL,E,G,PERCENT,55
2002,Turkmenistan,URBAN,E,G,PERCENT,86
2003,Turkmenistan,ALLAREA,E,G,PERCENT,70
2003,Turkmenistan,RURAL,E,G,PERCENT,57
2003,Turkmenistan,URBAN,E,G,PERCENT,86
2004,Turkmenistan,RURAL,E,G,PERCENT,59
2004,Turkmenistan,URBAN,E,G,PERCENT,86
2004,Turkmenistan,ALLAREA,E,G,PERCENT,71
2014,Kazakhstan,ALLAREA,E,G,PERCENT,84
2015,Kazakhstan,ALLAREA,E,G,PERCENT,86
2016,Kazakhstan,ALLAREA,E,G,PERCENT,88
2017,Kazakhstan,ALLAREA,E,G,PERCENT,89
2018,Kazakhstan,ALLAREA,E,G,PERCENT,89
2019,Kazakhstan,ALLAREA,E,G,PERCENT,89
2020,Kazakhstan,ALLAREA,E,G,PERCENT,89
2000,Kyrgyzstan,ALLAREA,E,G,PERCENT,46
2000,Kyrgyzstan,RURAL,E,G,PERCENT,27
2000,Kyrgyzstan,URBAN,E,G,PERCENT,80
