Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#16-2-2_VC_HTF_DETVOGR,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVOP,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVOPR,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVR,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVSX,notstarted,,,,custom.central_asia,,line
#16-2-2_VC_HTF_DETVSXR,notstarted,,,,custom.central_asia,,line
#16-2-3,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#16-2-3_VC_VAW_SXVLN,notstarted,,,,custom.central_asia,,line
#16-3-1,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-3-1_VC_PRR_PHYV,notstarted,,,,custom.central_asia,,line
#16-3-1_VC_PRR_ROBB,notstarted,,,,custom.central_asia,,line
#16-3-1_VC_PRR_SEXV,notstarted,,,,custom.central_asia,,line
#16-3-2,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-3-2_VC_PRS_UNSNT,notstarted,,,,custom.central_asia,,line
#16-3-3,notstarted,"United Nations Development Programme (UNDP), United Nations Office on Drugs and Crime (UNODC) and Organization for Economic Cooperation and Development (OECD)",True,,,,line
#16-4-1,notstarted,United Nations Office on Drugs and Crime (UNODC) and United Nations Conference on Trade and Development (UNCTAD),True,,,,line
#16-4-2,notstarted,UNODC and UNODA,True,,,,line
#16-4-2_VC_ARM_SZTRACE,notstarted,,,,custom.central_asia,,line
#16-5-1,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-5-1_IU_COR_BRIB,notstarted,,,,custom.central_asia,,line
#16-5-2,notstarted,World Bank (WB),True,,,,line
#16-5-2_IC_FRM_BRIB,notstarted,,,,custom.central_asia,,line
#16-6-1,notstarted,World Bank (WB),True,,,,line
#16-6-1_GF_XPD_GBPC,notstarted,,,,custom.central_asia,,line
#16-6-2,notstarted,United Nations Development Programme (UNDP) ,True,,,,line
#16-6-2_SP_PSR_OSATIS_GOV,notstarted,,,,custom.central_asia,,line
#16-6-2_SP_PSR_OSATIS_HLTH,notstarted,,,,custom.central_asia,,line
#16-6-2_SP_PSR_OSATIS_PRM,notstarted,,,,custom.central_asia,,line
#16-6-2_SP_PSR_OSATIS_SEC,notstarted,,,,custom.central_asia,,line
#16-6-2_SP_PSR_SATIS_GOV,notstarted,,,,custom.central_asia,,line
#16-6-2_SP_PSR_SATIS_HLTH,notstarted,,,,custom.central_asia,,line
#16-6-2_SP_PSR_SATIS_PRM,notstarted,,,,custom.central_asia,,line
#16-6-2_SP_PSR_SATIS_SEC,notstarted,,,,custom.central_asia,,line
#16-7-1,notstarted,Inter-Parliamentary Union (IPU),True,,,,line
#16-7-1_SG_DMK_JDC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_JDC_CNS,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_JDC_HGR,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_JDC_LWR,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLCC_JC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLCC_LC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLCC_UC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLMP_LC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLMP_UC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLSP_LC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLSP_UC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLYN_LC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLYN_UC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLYP_LC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLYP_UC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLYR_LC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PARLYR_UC,notstarted,,,,custom.central_asia,,line
#16-7-1_SG_DMK_PSRVC,notstarted,,,,custom.central_asia,,line
#16-7-2,notstarted,UNDP Oslo Governance Centre,True,,,,line
#16-8-1,notstarted,"Financing for Sustainable Development Office (FSDO), United Nations Department of Economic and Social Affairs (UN-DESA)
",True,,,,line
#16-8-1_SG_INT_MBRDEV,notstarted,,,,custom.central_asia,,line
#16-8-1_SG_INT_VRTDEV,notstarted,,,,custom.central_asia,,line
#16-9-1,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#16-9-1_SG_REG_BRTH,notstarted,,,,custom.central_asia,,line
#16-a-1,notstarted,United Nations Office of the High Commissioner for Human Rights,True,,,,line
#16-a-1_SG_NHR_IMPLN,notstarted,,,,custom.central_asia,,line
#16-a-1_SG_NHR_INTEXSTN,notstarted,,,,custom.central_asia,,line
#16-a-1_SG_NHR_NOAPPLN,notstarted,,,,custom.central_asia,,line
#16-a-1_SG_NHR_NOSTUSN,notstarted,,,,custom.central_asia,,line
#16-b-1,notstarted,Office of the United Nations High Commissioner for Human Rights (OHCHR),True,,,,line
#16-b-1_VC_VOV_GDSD,notstarted,,,,custom.central_asia,,line
#17-1-1,notstarted,International Monetary Fund (IMF) Statistics Department (Government Finance Division),True,,,,line
#17-1-1_GR_G14_GDP,notstarted,,,,custom.central_asia,,line
#17-1-1_GR_G14_XDC,notstarted,,,,custom.central_asia,,line
#17-1-2,notstarted,International Monetary Fund (IMF) Statistics Department (Government Finance Division),True,,,,line
#17-1-2_GC_GOB_TAXD,notstarted,,,,custom.central_asia,,line
#17-10-1,notstarted,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",True,,,,line
#17-10-1_TM_TAX_WMFN,notstarted,,,,custom.central_asia,,line
#17-10-1_TM_TAX_WMPS,notstarted,,,,custom.central_asia,,line
#17-11-1,notstarted,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",True,,,,line
#17-11-1_TX_EXP_GBMRCH,notstarted,,,,custom.central_asia,,line
#17-11-1_TX_EXP_GBSVR,notstarted,,,,custom.central_asia,,line
#17-11-1_TX_IMP_GBMRCH,notstarted,,,,custom.central_asia,,line
#17-11-1_TX_IMP_GBSVR,notstarted,,,,custom.central_asia,,line
#17-12-1,notstarted,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",True,,,,line
#17-12-1_TM_TAX_DMFN,notstarted,,,,custom.central_asia,,line
#17-12-1_TM_TAX_DPRF,notstarted,,,,custom.central_asia,,line
#17-13-1,notstarted,World Bank,True,,,,line
#17-13-1_BN_CAB_XOKA_GD_ZS,notstarted,,,,custom.central_asia,,line
#17-13-1_BN_KLT_PTXL_CD,notstarted,,,,custom.central_asia,,line
#17-13-1_BX_KLT_DINV_WD_GD_ZS,notstarted,,,,custom.central_asia,,line
#17-13-1_DP_DOD_DLD2_CR_CG_Z1,notstarted,,,,custom.central_asia,,line
#17-13-1_DT_DOD_DECT_GN_ZS,notstarted,,,,custom.central_asia,,line
#17-13-1_FB_BNK_CAPA_ZS,notstarted,,,,custom.central_asia,,line
#17-13-1_FI_RES_TOTL_MO,notstarted,,,,custom.central_asia,,line
#17-13-1_FM_LBL_BMNY_IR_ZS,notstarted,,,,custom.central_asia,,line
#17-13-1_FM_LBL_BMNY_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_FP_CPI_TOTL_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_GC_BAL_CASH_GD_ZS,notstarted,,,,custom.central_asia,,line
#17-13-1_GC_TAX_TOTL_GD_ZS,notstarted,,,,custom.central_asia,,line
#17-13-1_NE_CON_GOVT_KD_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_NE_CON_PRVT_KD_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_NE_EXP_GNFS_KD_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_NE_GDI_TOTL_KD_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_NE_IMP_GNFS_KD_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_NY_GDP_MKTP_KD_ZG,notstarted,,,,custom.central_asia,,line
#17-13-1_PA_NUS_ATLS,notstarted,,,,custom.central_asia,,line
#17-13-1_TG_VAL_TOTL_GD_ZS,notstarted,,,,custom.central_asia,,line
#17-14-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#17-14-1_SG_CPA_SDEVP,notstarted,,,,custom.central_asia,,line
#17-15-1,notstarted,"Organisation for Economic Co-operation and Development (OECD)
United Nations Development Programme (UNDP)",True,,,,line
#17-15-1_SG_PLN_PRPOLRES,notstarted,,,,custom.central_asia,,line
#17-15-1_SG_PLN_PRVNDI,notstarted,,,,custom.central_asia,,line
#17-15-1_SG_PLN_PRVRICTRY,notstarted,,,,custom.central_asia,,line
#17-15-1_SG_PLN_PRVRIMON,notstarted,,,,custom.central_asia,,line
#17-15-1_SG_PLN_RECNDI,notstarted,,,,custom.central_asia,,line
#17-15-1_SG_PLN_RECRICTRY,notstarted,,,,custom.central_asia,,line
#17-15-1_SG_PLN_RECRIMON,notstarted,,,,custom.central_asia,,line
#17-15-1_SG_PLN_REPOLRES,notstarted,,,,custom.central_asia,,line
#17-16-1,notstarted,"Organisation for Economic Co-operation and Development (OECD)
United Nations Development Programme (UNDP)",True,,,,line
#17-16-1_SG_PLN_MSTKSDG_P,notstarted,,,,custom.central_asia,,line
#17-16-1_SG_PLN_MSTKSDG_R,notstarted,,,,custom.central_asia,,line
#17-17-1,notstarted,World Bank,True,,,,line
#17-17-1_GF_COM_PPPI,notstarted,,,,custom.central_asia,,line
#17-17-1_GF_COM_PPPI_KD,notstarted,,,,custom.central_asia,,line
#17-18-2,notstarted,Partnership in Statistics for Development in the 21st Century (PARIS21),True,,,,line
#17-18-2_SG_STT_FPOS,notstarted,,,,custom.central_asia,,line
#17-18-3,notstarted,Partnership in Statistics for Development in the 21st Century (PARIS21),True,,,,line
#17-18-3_SG_STT_NSDSFDDNR,notstarted,,,,custom.central_asia,,line
#17-18-3_SG_STT_NSDSFDGVT,notstarted,,,,custom.central_asia,,line
#17-18-3_SG_STT_NSDSFDOTHR,notstarted,,,,custom.central_asia,,line
#17-18-3_SG_STT_NSDSFND,notstarted,,,,custom.central_asia,,line
#17-18-3_SG_STT_NSDSIMPL,notstarted,,,,custom.central_asia,,line
#17-19-1,notstarted,Partnership in Statistics for Development in the 21st Century (PARIS21),True,,,,line
#17-19-1_SG_STT_CAPTY,notstarted,,,,custom.central_asia,,line
#17-19-2,notstarted,"United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",True,,,,line
#17-19-2_SG_REG_BRTH90N,notstarted,,,,custom.central_asia,,line
#17-19-2_SG_REG_CENSUSN,notstarted,,,,custom.central_asia,,line
#17-19-2_SG_REG_DETH75N,notstarted,,,,custom.central_asia,,line
#17-2-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#17-2-1_DC_ODA_LDCG,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_LDCS,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_LLDC,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_LLDCG,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_SIDS,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_SIDSG,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_TOTG,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_TOTGGE,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_TOTL,notstarted,,,,custom.central_asia,,line
#17-2-1_DC_ODA_TOTLGE,notstarted,,,,custom.central_asia,,line
#17-3-1,notstarted,OECD and UNCTAD,True,,,,line
#17-3-1_GF_FRN_FDI,notstarted,,,,custom.central_asia,,line
#17-3-2,notstarted,World Bank (WB),True,,,,line
#17-3-2_BX_TRF_PWKR,notstarted,,,,custom.central_asia,,line
#17-4-1,notstarted,World Bank (WB),True,,,,line
#17-4-1_DT_TDS_DECT,notstarted,,,,custom.central_asia,,line
#17-5-1,notstarted,United Nations Conference on Trade and Development (UNCTAD),True,,,,line
#17-6-1,notstarted,International Telecommunication Union (ITU),True,,,,line
#17-6-1_IT_NET_BBND,notstarted,,,,custom.central_asia,,line
#17-6-1_IT_NET_BBNDN,notstarted,,,,custom.central_asia,,line
#17-7-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#17-7-1_DC_ENVTECH_EXP,notstarted,,,,custom.central_asia,,line
#17-7-1_DC_ENVTECH_IMP,notstarted,,,,custom.central_asia,,line
#17-7-1_DC_ENVTECH_INV,notstarted,,,,custom.central_asia,,line
#17-7-1_DC_ENVTECH_REXP,notstarted,,,,custom.central_asia,,line
#17-7-1_DC_ENVTECH_RIMP,notstarted,,,,custom.central_asia,,line
#17-7-1_DC_ENVTECH_TT,notstarted,,,,custom.central_asia,,line
#17-8-1,notstarted,International Telecommunication Union (ITU),True,,,,line
#17-8-1_IT_USE_ii99,notstarted,,,,custom.central_asia,,line
#17-9-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#17-9-1_DC_FTA_TOTAL,notstarted,,,,custom.central_asia,,line
#2-1-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-1-2,notstarted,Food and Agriculture Organisation of the United Nations (FAO),True,,,,line
#2-1-2_AG_PRD_FIESMS,notstarted,,,,custom.central_asia,,line
#2-2-1,notstarted,"United Nations Children&apos;s Fund (UNICEF)
World Health Organization (WHO)
World Bank (WB)",True,,,,line
#2-2-1_SH_STA_STNT,notstarted,,,,custom.central_asia,,line
#2-2-1_SH_STA_STNTN,notstarted,,,,custom.central_asia,,line
#2-2-2,notstarted,"United Nations Children&apos;s Fund (UNICEF)
World Health Organization (WHO)
World Bank (WB)",True,,,,line
#2-2-2_SH_STA_WAST,notstarted,,,,custom.central_asia,,line
#2-2-2_SH_STA_WASTN,notstarted,,,,custom.central_asia,,line
#2-2-2_SN_STA_OVWGT,notstarted,,,,custom.central_asia,,line
#2-2-2_SN_STA_OVWGTN,notstarted,,,,custom.central_asia,,line
#2-2-3,notstarted,World Health Organization (WHO),True,,,,line
#2-2-3_SH_STA_ANEM,notstarted,,,,custom.central_asia,,line
#2-2-3_SH_STA_ANEM_NPRG,notstarted,,,,custom.central_asia,,line
#2-2-3_SH_STA_ANEM_PREG,notstarted,,,,custom.central_asia,,line
#2-3-1,notstarted,Food and Agriculture Organization (FAO),True,,,,line
#2-3-1_PD_AGR_LSFP,notstarted,,,,custom.central_asia,,line
#2-3-1_PD_AGR_SSFP,notstarted,,,,custom.central_asia,,line
#2-3-2,notstarted,Food and Agriculture Organization (FAO),True,,,,line
#2-3-2_SI_AGR_LSFP,notstarted,,,,custom.central_asia,,line
#2-3-2_SI_AGR_SSFP,notstarted,,,,custom.central_asia,,line
#2-4-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-4-1_AG_LND_AGRBIO,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_AGRWAG,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_FERTMG,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_FIES,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_FOVH,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_H2OAVAIL,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_LNDSTR,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_NFI,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_PSTCDSMG,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_RMM,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_SDGRD,notstarted,,,,custom.central_asia,,line
#2-4-1_AG_LND_SUST,notstarted,,,,custom.central_asia,,line
#2-5-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-5-1_ER_GRF_ANIMKPT,notstarted,,,,custom.central_asia,,line
#2-5-1_ER_GRF_ANIMRCNTN,notstarted,,,,custom.central_asia,,line
#2-5-1_ER_GRF_ANIMRCNTN_TRB,notstarted,,,,custom.central_asia,,line
#2-5-1_ER_GRF_PLNTSTOR,notstarted,,,,custom.central_asia,,line
#2-5-2,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-5-2_ER_NOEX_LBREDN,notstarted,,,,custom.central_asia,,line
#2-5-2_ER_RSK_LBREDS,notstarted,,,,custom.central_asia,,line
#2-5-2_ER_UNK_LBREDN,notstarted,,,,custom.central_asia,,line
#2-a-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-a-1_AG_PRD_AGVAS,notstarted,,,,custom.central_asia,,line
#2-a-1_AG_PRD_ORTIND,notstarted,,,,custom.central_asia,,line
#2-a-1_AG_XPD_AGSGB,notstarted,,,,custom.central_asia,,line
#2-a-2,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#2-a-2_DC_TOF_AGRL,notstarted,,,,custom.central_asia,,line
#2-b-1,notstarted,The World Trade Organization (WTO),True,,,,line
#2-b-1_AG_PRD_XSUBDY,notstarted,,,,custom.central_asia,,line
#2-c-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#2-c-1_AG_FPA_CFPI,notstarted,,,,custom.central_asia,,line
#2-c-1_AG_FPA_COMM,notstarted,,,,custom.central_asia,,line
#3-1-1,notstarted,World Health Organization (WHO). Department of Sexual and Reproductive Health and Research.,True,,,,line
#3-1-1_SH_STA_MORT,notstarted,,,,custom.central_asia,,line
#3-1-2,notstarted,United Nations Children&#x2019;s Fund (UNICEF) and World Health Organization (WHO),True,,,,line
#3-1-2_SH_STA_BRTC,notstarted,,,,custom.central_asia,,line
#3-2-1,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#3-2-1_SH_DYN_IMRT,notstarted,,,,custom.central_asia,,line
#3-2-1_SH_DYN_IMRTN,notstarted,,,,custom.central_asia,,line
#3-2-1_SH_DYN_MORT,notstarted,,,,custom.central_asia,,line
#3-2-1_SH_DYN_MORTN,notstarted,,,,custom.central_asia,,line
#3-2-2,notstarted,United Nations Children&apos;s Fund (UNICEF) ,True,,,,line
#3-2-2_SH_DYN_NMRT,notstarted,,,,custom.central_asia,,line
#3-2-2_SH_DYN_NMRTN,notstarted,,,,custom.central_asia,,line
#3-3-1,notstarted,The Joint United Nations Programme on HIV/AIDS (UNAIDS),True,,,,line
#3-3-1_SH_HIV_INCD,notstarted,,,,custom.central_asia,,line
#3-3-2,notstarted,World Health Organization (WHO),True,,,,line
#3-3-2_SH_TBS_INCD,notstarted,,,,custom.central_asia,,line
#3-3-3,notstarted,Global Malaria Programme at World Health Organization(WHO),True,,,,line
#3-3-3_SH_STA_MALR,notstarted,,,,custom.central_asia,,line
#3-3-4,notstarted,World Health Organization ,True,,,,line
#3-3-4_SH_HAP_HBSAG,notstarted,,,,custom.central_asia,,line
#3-3-5,notstarted,World Health Organization (WHO),True,,,,line
#3-3-5_SH_TRP_INTVN,notstarted,,,,custom.central_asia,,line
#3-4-1,notstarted,World Health Organization (WHO) ,True,,,,line
#3-4-1_SH_DTH_NCD,notstarted,,,,custom.central_asia,,line
#3-4-1_SH_DTH_NCOM,notstarted,,,,custom.central_asia,,line
#3-4-2,notstarted,World Health Organization (WHO) ,True,,,,line
#3-4-2_SH_STA_SCIDE,notstarted,,,,custom.central_asia,,line
#3-4-2_SH_STA_SCIDEN,notstarted,,,,custom.central_asia,,line
#3-5-1,notstarted,"World Health Organization (WHO) 
United Nations Office on Drugs and Crime (UNODC) ",True,,,,line
#3-5-1_SH_SUD_ALCOL,notstarted,,,,custom.central_asia,,line
#3-5-1_SH_SUD_TREAT,notstarted,,,,custom.central_asia,,line
#3-5-2,notstarted,World Health Organization (WHO) ,True,,,,line
#3-5-2_SH_ALC_CONSPT,notstarted,,,,custom.central_asia,,line
#3-6-1,notstarted,World Health Organization (WHO) ,True,,,,line
#3-6-1_SH_STA_TRAF,notstarted,,,,custom.central_asia,,line
#3-7-1,notstarted,"Population Division, Department of Economic and Social Affairs (DESA)
United Nations Population Fund (UNFPA)",True,,,,line
#3-7-1_SH_FPL_MTMM,notstarted,,,,custom.central_asia,,line
#3-7-2,notstarted,"Population Division, Department of Economic and Social Affairs (DESA) 
United Nations Population Fund (UNFPA)",True,,,,line
#3-7-2_SP_DYN_ADKL,notstarted,,,,custom.central_asia,,line
#3-8-1,notstarted,World Health Organization (WHO) ,True,,,,line
#3-8-1_SH_ACS_UNHC,notstarted,,,,custom.central_asia,,line
#3-8-2,notstarted,World Health Organization (WHO) and the World Bank,True,,,,line
#3-8-2_SH_XPD_EARN10,notstarted,,,,custom.central_asia,,line
#3-8-2_SH_XPD_EARN25,notstarted,,,,custom.central_asia,,line
#3-9-1,notstarted,World Health Organization (WHO),True,,,,line
#3-9-1_SH_AAP_ASMORT,notstarted,,,,custom.central_asia,,line
#3-9-1_SH_HAP_ASMORT,notstarted,,,,custom.central_asia,,line
#3-9-1_SH_STA_ASAIRP,notstarted,,,,custom.central_asia,,line
#3-9-2,notstarted,World Health Organization (WHO),True,,,,line
#3-9-2_SH_STA_WASHARI,notstarted,,,,custom.central_asia,,line
#3-9-3,notstarted,"World Health Organization (WHO)
 ",True,,,,line
#3-9-3_SH_STA_POISN,notstarted,,,,custom.central_asia,,line
#3-a-1,notstarted,World Health Organization; Secretariat of the WHO Framework Convention on Tobacco Control (co-custodians) ,True,,,,line
#3-a-1_SH_PRV_SMOK,notstarted,,,,custom.central_asia,,line
#3-b-1,notstarted,"World Health Organization (WHO), United Nations Children&#x2019;s Fund (UNICEF) ",True,,,,line
#3-b-1_SH_ACS_DTP3,notstarted,,,,custom.central_asia,,line
#3-b-2,notstarted,Organisation for Economic Co-operation and Development (OECD) ,True,,,,line
#3-b-2_DC_TOF_HLTHL,notstarted,,,,custom.central_asia,,line
#3-b-2_DC_TOF_HLTHNT,notstarted,,,,custom.central_asia,,line
#3-b-3,notstarted,World Health Organization (WHO),True,,,,line
#3-b-3_SH_HLF_EMED,notstarted,,,,custom.central_asia,,line
#3-c-1,notstarted,"Health Workforce Department, World Health Organization (WHO)",True,,,,line
#3-c-1_SH_MED_DEN,notstarted,,,,custom.central_asia,,line
#3-c-1_SH_MED_HWRKDIS,notstarted,,,,custom.central_asia,,line
#3-d-1,notstarted,World Health Organization (WHO),True,,,,line
#3-d-1_SH_IHR_CAPS,notstarted,,,,custom.central_asia,,line
#3-d-2,notstarted,World Health Organization (WHO) ,True,,,,line
#3-d-2_SH_BLD_ECOLI,notstarted,,,,custom.central_asia,,line
#3-d-2_SH_BLD_MRSA,notstarted,,,,custom.central_asia,,line
#4-1-1,notstarted,UNESCO Institute of Statistics (UIS),True,,,,line
#4-1-1_SE_TOT_PRFL,notstarted,,,,custom.central_asia,,line
#4-1-2,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-1-2_SE_TOT_CPLR,notstarted,,,,custom.central_asia,,line
#4-2-1,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#4-2-1_SE_DEV_ONTRK,notstarted,,,,custom.central_asia,,line
#4-2-2,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-2-2_SE_PRE_PARTN,notstarted,,,,custom.central_asia,,line
#4-3-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-3-1_SE_ADT_EDUCTRN,notstarted,,,,custom.central_asia,,line
#4-4-1,notstarted,International Telecommunication Union (ITU),True,,,,line
#4-4-1_SE_ADT_ACTS,notstarted,,,,custom.central_asia,,line
#4-5-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-5-1_SE_AGP_CPRA,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_ALP_CPLR,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_AWP_CPRA,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_GPI_ICTS,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_GPI_PART,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_GPI_PTNPRE,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_GPI_TCAQ,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_IMP_FPOF,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_LGP_ACHI,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_NAP_ACHI,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_TOT_GPI,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_TOT_GPI_FS,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_TOT_RUPI,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_TOT_SESPI,notstarted,,,,custom.central_asia,,line
#4-5-1_SE_TOT_SESPI_FS,notstarted,,,,custom.central_asia,,line
#4-6-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-6-1_SE_ADT_FUNS,notstarted,,,,custom.central_asia,,line
#4-7-1,notstarted,"UNESCO Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development (UNESCO-ED/PSD/ESD)
UNESCO Institute for Statistics (UNESCO-UIS)",True,,,,line
#4-7-1_SE_GCEDESD_CUR,notstarted,,,,custom.central_asia,,line
#4-7-1_SE_GCEDESD_NEP,notstarted,,,,custom.central_asia,,line
#4-7-1_SE_GCEDESD_SAS,notstarted,,,,custom.central_asia,,line
#4-7-1_SE_GCEDESD_TED,notstarted,,,,custom.central_asia,,line
#4-a-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#4-a-1_SE_ACC_HNDWSH,notstarted,,,,custom.central_asia,,line
#4-a-1_SE_ACS_CMPTR,notstarted,,,,custom.central_asia,,line
#4-a-1_SE_ACS_ELECT,notstarted,,,,custom.central_asia,,line
#4-a-1_SE_ACS_H2O,notstarted,,,,custom.central_asia,,line
#4-a-1_SE_ACS_INTNT,notstarted,,,,custom.central_asia,,line
#4-a-1_SE_ACS_SANIT,notstarted,,,,custom.central_asia,,line
#4-a-1_SE_INF_DSBL,notstarted,,,,custom.central_asia,,line
#4-b-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#4-b-1_DC_TOF_SCHIPSL,notstarted,,,,custom.central_asia,,line
#4-c-1,notstarted,UNESCO Institute for Statistics (UNESCO-UIS),True,,,,line
#4-c-1_SE_TRA_GRDL,notstarted,,,,custom.central_asia,,line
#5-1-1,notstarted,"UN Women, World Bank Group, OECD Development Centre",True,,,,line
#5-1-1_SG_LGL_GENEQEMP,notstarted,,,,custom.central_asia,,line
#5-1-1_SG_LGL_GENEQLFP,notstarted,,,,custom.central_asia,,line
#5-1-1_SG_LGL_GENEQMAR,notstarted,,,,custom.central_asia,,line
#5-1-1_SG_LGL_GENEQVAW,notstarted,,,,custom.central_asia,,line
#5-2-1,notstarted,"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)
United Nations Entity for Gender Equality and the Empowerment of Women (UN Women)
United Nations Office on Drugs and Crime (UNODC)
United Nations Population Fund (UNFPA)
United Nations Statistics Division (UNSD)",True,,,,line
#5-2-1_VC_VAW_MARR,notstarted,,,,custom.central_asia,,line
